8,10,11
(-234,99,40.469368,-2)
(-224,111,40.469368,-2)
(-214,123,40.469368,-2)
(-204,135,40.469368,-2)
(-194,147,40.469368,-2)
(-184,159,40.469368,-2)
(-174,171,40.469368,-2)
(-164,183,40.469368,-2)
(-154,195,40.469368,-2)
(-144,207,40.469368,-2)
(-134,219,40.469368,-2)
(-124,232,40.469368,-2)
(-113,244,41.586246,-2)
(-102,256,42.813084,-2)
(-91,268,44.597378,-2)
(-79,279,44.597378,-2)
(-73,285,48.748550,-2)
(-60,295,50.996361,-2)
(-47,305,52.043339,-2)
(-34,316,52.414265,-2)
(-21,326,52.177818,-2)
(-8,336,52.177818,-2)
(-2,342,48.870178,-2)
(10,353,48.447960,-2)
(23,364,48.546944,-2)
(36,375,49.096203,-2)
(49,386,50.260220,-2)
(62,397,50.260220,-2)
(69,402,52.613960,-2)
(83,413,52.814156,-2)
(97,423,53.408501,-2)
(111,433,54.449635,-2)
(125,443,56.193600,-2)
(132,448,57.528809,-2)
(147,457,59.026787,-2)
(161,466,60.262402,-2)
(176,474,61.552170,-2)
(192,482,63.130869,-2)
(207,490,65.395115,-2)
(215,493,67.833654,-2)
(231,499,69.814939,-2)
(246,505,71.207281,-2)
(262,510,72.414007,-2)
(278,515,73.650288,-2)
(294,519,75.155435,-2)
(310,523,75.155435,-2)
(318,525,78.352546,-2)
(335,528,80.242469,-2)
(352,530,82.478347,-2)
(369,532,85.356534,-2)
(386,533,89.439531,-2)
(394,533,89.439531,-2)
(410,532,93.778605,-2)
(427,531,96.610116,-2)
(443,529,99.491534,-2)
(459,525,103.109958,-2)
(475,521,108.773294,-2)
(483,518,110.556046,-2)
(498,510,120.694187,-2)
(513,501,126.375141,-2)
(526,490,129.933533,-2)
(539,479,132.217525,-2)
(552,467,132.217525,-2)
(558,461,134.231125,-2)
(569,450,138.149036,-2)
(580,437,141.573723,-2)
(590,424,145.347763,-2)
(598,410,150.576073,-2)
(602,403,154.536652,-2)
(609,388,158.929665,-2)
(614,372,162.562607,-2)
(618,356,166.506783,-2)
(622,340,171.689049,-2)
(623,323,171.689049,-2)
(623,315,171.689049,-2)
(621,299,186.989670,-2)
(619,282,190.482292,-2)
(615,267,194.349258,-2)
(611,251,199.718117,-2)
(604,236,199.718117,-2)
(599,229,218.540985,-2)
(588,217,227.313660,-2)
(575,206,232.718994,-2)
(561,196,237.012741,-2)
(546,188,241.508377,-2)
(539,184,244.536652,-2)
(524,178,249.326645,-2)
(509,173,253.330215,-2)
(493,168,257.660049,-2)
(477,166,263.325851,-2)
(461,165,263.325851,-2)
(453,166,276.520538,-2)
(436,168,282.037491,-2)
(419,173,287.101593,-2)
(403,179,293.543472,-2)
(389,187,304.638016,-2)
(382,192,315.000000,-2)
(373,205,330.324158,-2)
(366,219,337.674301,-2)
(360,235,342.640213,-2)
(356,250,346.955231,-2)
(353,266,351.907166,-2)
(352,274,355.426086,-2)
(352,291,355.426086,-2)
(354,307,7.488152,-2)
(356,324,10.794876,-2)
(360,340,13.934174,-2)
(364,356,17.774467,-2)
(367,364,20.556046,-2)
(374,380,25.451180,-2)
(382,395,29.597870,-2)
(391,409,33.772675,-2)
(401,423,38.602673,-2)
(412,436,38.602673,-2)
(418,441,49.512653,-2)
(431,452,53.154152,-2)
(444,461,55.577927,-2)
(458,470,57.609024,-2)
(472,479,59.649490,-2)
(486,487,62.126011,-2)
(501,494,62.126011,-2)
(509,497,69.251270,-2)
(524,502,72.737005,-2)
(540,507,75.267717,-2)
(556,511,77.382064,-2)
(572,514,79.418124,-2)
(589,517,81.798115,-2)
(597,518,83.418056,-2)
(613,520,85.399099,-2)
(629,521,87.749377,-2)
(645,521,87.749377,-2)
(661,520,93.212490,-2)
(677,519,93.212490,-2)
(685,518,96.804162,-2)
(702,516,98.140335,-2)
(718,513,99.376936,-2)
(735,510,100.766991,-2)
(751,507,102.550973,-2)
(767,503,105.185109,-2)
(783,498,110.016008,-2)
(791,495,113.962490,-2)
(806,487,123.017113,-2)
(820,477,130.059486,-2)
(832,465,135.331440,-2)
(844,452,139.082596,-2)
(855,439,139.082596,-2)
(860,433,142.684521,-2)
(870,419,146.430332,-2)
(878,405,149.297249,-2)
(886,391,152.063969,-2)
(894,376,155.327240,-2)
(900,361,155.327240,-2)
(903,353,162.066422,-2)
(907,337,164.997284,-2)
(911,321,167.693169,-2)
(914,305,170.748871,-2)
(916,289,174.935287,-2)
(917,272,174.935287,-2)
(916,264,186.878036,-2)
(913,247,193.122002,-2)
(909,230,197.935852,-2)
(903,215,202.772224,-2)
(895,199,209.254181,-2)
(891,192,215.837654,-2)
(880,180,227.640106,-2)
(867,170,233.991898,-2)
(854,161,238.543777,-2)
(840,153,242.678543,-2)
(825,146,242.678543,-2)
(817,143,249.636627,-2)
(801,138,253.086441,-2)
(785,133,256.865295,-2)
(769,130,261.749710,-2)
(752,129,269.086014,-2)
(744,129,269.086014,-2)
(728,131,281.658539,-2)
(713,135,285.823685,-2)
(697,140,289.442520,-2)
(683,146,293.503754,-2)
(668,153,299.360413,-2)
(655,162,299.360413,-2)
(649,168,320.954422,-2)
(640,182,331.867554,-2)
(633,198,337.946686,-2)
(627,214,341.830841,-2)
(622,230,344.465027,-2)
(620,238,347.735229,-2)
(617,254,352.316833,-2)
(616,270,355.792511,-2)
(615,286,359.215851,-2)
(615,302,359.215851,-2)
(617,318,359.215851,-2)
(619,326,15.842308,-2)
(625,343,21.558708,-2)
(632,359,25.635483,-2)
(640,374,28.977989,-2)
(648,389,32.087585,-2)
(653,396,33.690067,-2)
(662,409,38.220898,-2)
(673,421,40.584171,-2)
(683,433,42.271610,-2)
(694,445,43.740139,-2)
(705,456,45.269779,-2)
(717,467,47.252407,-2)
(729,478,47.252407,-2)
(735,483,53.825531,-2)
(749,492,59.188652,-2)
(763,499,63.492456,-2)
(778,506,66.836624,-2)
(792,512,69.230484,-2)
(800,515,67.750977,-2)
(815,521,71.116079,-2)
(831,526,73.715519,-2)
(847,530,76.228609,-2)
(863,533,79.128640,-2)
(879,536,79.128640,-2)
(888,537,82.332318,-2)
(905,539,84.333443,-2)
(922,541,86.309647,-2)
(939,541,86.309647,-2)
(957,542,89.291808,-2)
(974,541,89.291808,-2)
(982,540,95.087642,-2)
(999,539,97.028815,-2)
(1016,536,98.188252,-2)
(1032,534,99.025736,-2)
(1049,531,99.715008,-2)
(1065,528,100.354837,-2)
(1081,525,101.041769,-2)
(1098,522,101.971100,-2)
(1106,520,100.954062,-2)
(1122,517,103.450706,-2)
(1138,512,106.521702,-2)
(1154,507,109.996414,-2)
(1169,501,113.493883,-2)
(1184,494,113.493883,-2)
(1191,490,117.338228,-2)
(1206,483,120.384974,-2)
(1219,474,122.041107,-2)
(1233,465,123.007946,-2)
(1247,456,123.494099,-2)
(1260,447,123.456894,-2)
(1267,443,122.005383,-2)
(1281,434,122.102512,-2)
(1294,426,122.506508,-2)
(1308,417,123.216835,-2)
(1321,408,124.321552,-2)
(1335,399,126.049683,-2)
(1341,394,127.303947,-2)
(1354,384,130.499767,-2)
(1366,373,131.977596,-2)
(1378,362,132.914402,-2)
(1390,351,133.630863,-2)
(1401,340,134.337612,-2)
(1407,334,134.337612,-2)
(1412,330,134.337612,-2)
(1423,320,134.337612,-2)
(1434,310,134.337612,-2)
(1445,300,134.337612,-2)
(1456,290,134.337612,-2)
(1467,280,134.337612,-2)
(1478,270,134.337612,-2)
(1489,260,134.337612,-2)
(1500,250,134.337612,-2)
(1511,240,134.337612,-2)
